Data,CUB_SC,INCC,IGPM,IPCA,INPC,SELIC,USD
2022-08-01,0.78,0.09,-0.7,-0.36,-0.31,1.17,-4.187701421359513
2022-09-01,0.34,0.09,-0.95,-0.29,-0.32,1.07,1.8217875682927431
2022-10-01,0.03,0.12,-0.97,0.59,0.47,1.02,0.2539621920947033
2022-11-01,0.38,0.36,-0.56,0.41,0.38,1.02,0.46473534845627995
2022-12-01,0.3,0.09,0.45,0.62,0.69,1.12,-0.6123571008777806
2023-01-01,0.43,0.46,0.21,0.53,0.46,1.12,-0.795437204333882
2023-02-01,0.32,0.05,-0.06,0.84,0.77,0.92,-0.5576172438325644
2023-03-01,0.37,0.3,0.05,0.71,0.64,1.17,0.7695728677224123
2023-04-01,0.3,0.14,-0.95,0.61,0.53,0.92,-3.680322364002686
2023-05-01,1.37,0.59,-1.84,0.23,0.36,1.12,-0.735103691455663
2023-06-01,0.81,0.71,-1.93,-0.08,-0.1,1.07,-2.6330577185518123
2023-07-01,0.1,0.1,-0.72,0.12,-0.09,1.07,-1.0470772528650474
2023-08-01,0.07,0.17,-0.14,0.23,0.2,1.14,2.1392267955340882
2023-09-01,0.09,0.34,0.37,0.26,0.11,0.97,0.6831854797593628
2023-10-01,0.01,0.2,0.5,0.24,0.12,1.0,2.5886165687664553
2023-11-01,-0.08,0.07,0.59,0.28,0.1,0.92,-3.2873953561838642
2023-12-01,-0.01,0.31,0.74,0.56,0.55,0.89,-0.02245677071637253
2024-01-01,0.05,0.27,0.07,0.42,0.57,0.97,0.3512211059380821
2024-02-01,0.07,0.13,-0.52,0.83,0.81,0.8,1.0174181995767695
2024-03-01,0.08,0.28,-0.47,0.16,0.19,0.83,0.31625171219078485
2024-04-01,0.03,0.52,0.31,0.38,0.37,0.89,2.991907793016213
2024-05-01,0.57,0.86,0.89,0.46,0.46,0.83,0.0760367315903343
2024-06-01,0.68,0.71,0.81,0.21,0.25,0.79,4.987336840054546
2024-07-01,0.67,0.72,0.61,0.38,0.26,0.91,2.8391167192428846
2024-08-01,1.05,0.7,0.29,-0.02,-0.14,0.87,0.19126669072537794
2024-09-01,0.16,0.58,0.62,0.44,0.48,0.84,-0.19810539206858158
2024-10-01,0.62,0.68,1.52,0.56,0.61,0.93,1.4887397141619907
2024-11-01,0.17,0.4,1.3,0.39,0.33,0.79,3.253853949965335
2024-12-01,0.67,0.5,0.94,0.52,0.48,0.93,4.992164763823603
2025-01-01,0.46,0.83,0.27,0.16,0.0,1.01,-1.233393472199451
2025-02-01,0.23,0.4,1.06,1.31,1.48,0.99,-4.254541831346104
2025-03-01,0.28,0.39,-0.34,0.56,0.51,0.96,-0.32607187456639153
2025-04-01,0.25,0.52,0.24,0.43,0.48,1.06,0.642096471079534
2025-05-01,0.38,0.58,-0.49,0.26,0.35,1.14,-2.0108235212753067
2025-06-01,1.06,0.69,-1.67,0.24,0.23,1.1,-2.1226664784557148
2025-07-01,0.42,0.91,-0.77,0.26,0.21,1.28,-0.3353103423410442
2025-08-01,0.5,0.52,0.36,-0.11,-0.21,1.16,-1.4759880618612664
2025-09-01,0.21,0.17,0.42,0.48,0.52,1.22,-1.459545796691708
2025-10-01,0.12,0.3,-0.36,0.09,0.03,1.28,0.3372210008570242
2025-11-01,0.19,0.27,0.27,0.18,0.03,1.05,-0.8281496611270978
2025-12-01,0.13,0.21,-0.01,0.33,0.21,1.22,2.1007695332247334
2026-01-01,0.22,0.72,0.41,0.33,0.39,1.16,-2.110726009059072
2026-02-01,0.3,0.28,-0.73,0.7,0.56,1.0,-2.5739977519670387
2026-03-01,0.31,0.54,0.52,0.88,0.91,1.21,0.5960850671076434
